onset	duration	trial_type	onset_tone	duration_imprecise	response_time_imprecise	offset_trial	offset_sound_imprecise	onset_iti	offset_iti	onset_iti_imprecise	offset_iti_imprecise	ITI	frequency	key_pressed	correct	dpos	rule	runs	trial_no	tau_std	lim_std	lim_dev	trigger_time_1	trigger_time_2	trigger_time_3	trigger_time_4	trigger_time_5
93515.288503916	5.35	0	93515.288503916	5.349860834001447		93526.638493708	93520.63836475	93520.63850391601	93526.63850391601	93520.638369166	93526.637082833	6.0	854.98		3	3	0	1	64	240	1000	1050	93478.71204625	93478.876229083	93479.02430325	93479.18941875	93479.354394291
93515.288503916	5.35	0	93516.038503916	5.349860834001447		93526.638493708	93520.63836475	93520.63850391601	93526.63850391601	93520.638369166	93526.637082833	6.0	844.42		3	3	0	1	64	240	1000	1050	93478.71204625	93478.876229083	93479.02430325	93479.18941875	93479.354394291
93515.288503916	5.35	0	93516.788503916	5.349860834001447		93526.638493708	93520.63836475	93520.63850391601	93526.63850391601	93520.638369166	93526.637082833	6.0	843.57		3	3	0	1	64	240	1000	1050	93478.71204625	93478.876229083	93479.02430325	93479.18941875	93479.354394291
93515.288503916	5.35	1	93517.538503916	5.349860834001447		93526.638493708	93520.63836475	93520.63850391601	93526.63850391601	93520.638369166	93526.637082833	6.0	1058.0		3	3	0	1	64	240	1000	1050	93478.71204625	93478.876229083	93479.02430325	93479.18941875	93479.354394291
93515.288503916	5.35	0	93518.288503916	5.349860834001447		93526.638493708	93520.63836475	93520.63850391601	93526.63850391601	93520.638369166	93526.637082833	6.0	812.27		3	3	0	1	64	240	1000	1050	93478.71204625	93478.876229083	93479.02430325	93479.18941875	93479.354394291
93515.288503916	5.35	0	93519.038503916	5.349860834001447		93526.638493708	93520.63836475	93520.63850391601	93526.63850391601	93520.638369166	93526.637082833	6.0	829.36		3	3	0	1	64	240	1000	1050	93478.71204625	93478.876229083	93479.02430325	93479.18941875	93479.354394291
93515.288503916	5.35	0	93519.788503916	5.349860834001447		93526.638493708	93520.63836475	93520.63850391601	93526.63850391601	93520.638369166	93526.637082833	6.0	843.86		3	3	0	1	64	240	1000	1050	93478.71204625	93478.876229083	93479.02430325	93479.18941875	93479.354394291
93515.288503916	5.35	0	93520.538503916	5.349860834001447		93526.638493708	93520.63836475	93520.63850391601	93526.63850391601	93520.638369166	93526.637082833	6.0	852.54		3	3	0	1	64	240	1000	1050	93478.71204625	93478.876229083	93479.02430325	93479.18941875	93479.354394291
93526.64443120801	5.35	0	93526.64443120801	5.349445041982108		93537.494420458	93531.99387625	93531.99443120802	93537.49443120802	93531.993882666	93537.492112708	5.5	834.51		3	3	0	1	65	240	1000	1050	93478.71204625	93478.876229083	93479.02430325	93479.18941875	93479.354394291
93526.64443120801	5.35	0	93527.39443120801	5.349445041982108		93537.494420458	93531.99387625	93531.99443120802	93537.49443120802	93531.993882666	93537.492112708	5.5	855.31		3	3	0	1	65	240	1000	1050	93478.71204625	93478.876229083	93479.02430325	93479.18941875	93479.354394291
93526.64443120801	5.35	0	93528.14443120801	5.349445041982108		93537.494420458	93531.99387625	93531.99443120802	93537.49443120802	93531.993882666	93537.492112708	5.5	823.68		3	3	0	1	65	240	1000	1050	93478.71204625	93478.876229083	93479.02430325	93479.18941875	93479.354394291
